Date,Time,Name,Location,City,St,Zip,Latitude,Longitude,Distance,Speed,Heading,Flags
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:15:09 AM EST,-,R_05,Hollywood,FL ,33019,26.024026,-80.133256,0.0,0,N (0°),G-------
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:15:57 AM EST,-,R_05,Hollywood,FL ,33019,26.024056,-80.133304,0.0,0,N (0°),G----I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:32:02 AM EST,-,R_05,Hollywood,FL ,33019,26.023956,-80.133328,0.0,0,N (0°),G-------
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:33:41 AM EST,-,R_05,Hollywood,FL ,33019,26.023956,-80.133328,0.0,0,N (0°),G----I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:43:47 AM EST,-,R_05,Hollywood,FL ,33019,26.023946,-80.133344,0.0,0,N (0°),G-------
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:44:09 AM EST,-,R_05,Hollywood,FL ,33019,26.023946,-80.133344,0.0,0,N (0°),G----I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:48:21 AM EST,-,R_05,Hollywood,FL ,33019,26.023880,-80.133536,0.0,0,W (255°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:49:21 AM EST,-,R_05,Hollywood,FL ,33019,26.023830,-80.133632,0.0,1,N (352°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:50:21 AM EST,-,R_05,Hollywood,FL ,33019,26.023828,-80.133632,0.0,0,N (352°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:51:21 AM EST,-,R_05,Hollywood,FL ,33019,26.023826,-80.133632,0.0,0,N (352°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:51:23 AM EST,-,R_05,Hollywood,FL ,33019,26.023826,-80.133632,0.0,0,N (352°),G----I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,6:59:37 AM EST,-,R_05,Hollywood,FL ,33019,26.023732,-80.133456,0.0,1,E (97°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:00:37 AM EST,-,R_05,Hollywood,FL ,33019,26.024146,-80.133320,0.0,3,N (6°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:01:37 AM EST,-,R_05,Hollywood,FL ,33019,26.024144,-80.133320,0.0,0,N (6°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:02:37 AM EST,-,R_05,Hollywood,FL ,33019,26.024142,-80.133320,0.0,0,N (6°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:02:56 AM EST,-,R_05,Hollywood,FL ,33019,26.024142,-80.133320,0.0,0,N (6°),G----I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:04:04 AM EST,-,R_05,Hollywood,FL ,33019,26.024440,-80.133440,0.0,3,NW (335°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:05:04 AM EST,-,R_05,Hollywood,FL ,33020,26.024560,-80.134208,0.1,4,W (272°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:06:04 AM EST,-,R_05,Hollywood,FL ,33020,26.024562,-80.134216,0.0,0,W (272°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:07:04 AM EST,-,R_05,Hollywood,FL ,33020,26.024564,-80.134216,0.0,0,W (272°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:07:27 AM EST,-,R_05,Hollywood,FL ,33020,26.024562,-80.134208,0.0,0,W (272°),G----I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:10:58 AM EST,-,R_05,Hollywood,FL ,33020,26.024566,-80.134344,0.0,1,W (269°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:11:58 AM EST,-,Taft Street Water Treatment,Hollywood,FL ,33019,26.025812,-80.134096,0.1,8,N (4°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:12:58 AM EST,-,Taft Street Water Treatment,Hollywood,FL ,33019,26.026480,-80.134992,0.1,6,W (271°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:13:58 AM EST,-,1553 Taft St,Hollywood,FL ,33020,26.026424,-80.137672,0.2,9,W (269°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:14:58 AM EST,-,1785 Taft St,Hollywood,FL ,33020,26.026336,-80.143120,0.3,20,W (271°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:15:58 AM EST,-,1903 N Federal Hwy,Hollywood,FL ,33020,26.028202,-80.143168,0.2,9,N (0°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:16:58 AM EST,-,2241 N Federal Hwy,Hollywood,FL ,33020,26.031906,-80.143200,0.3,15,N (359°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:17:58 AM EST,-,2465 N Federal Hwy,Hollywood,FL ,33020,26.033292,-80.143192,0.1,9,N (0°),G--M-I--
3/1/2016 12:00 AM to 3/2/2016 12:00 AM,7:18:58 AM EST,-,1302 S Federal Hwy,Dania Beach,FL ,33004,26.036116,-80.143224,0.2,18,N (0°),G--M-I--
